公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
众安在线财产保险股份有限公司,众安保险,2000人以上,上市公司,黄浦区,Python开发工程师,3-5年,本科,16k-26k,"福利待遇好,上市公司,晋升机会多,扁平化管理"
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,浦东新区,Python开发工程师,3-5年,大专,20k-35k,"平均15薪,餐补,六险一金"
即科金融信息服务（上海）有限公司,GeexFinance,150-500人,A轮,杨浦区,Python工程师,1-3年,本科,15k-30k,有挑战
上海进馨网络科技有限公司,纳米盒,150-500人,B轮,浦东新区,Python开发工程师,3-5年,本科,15k-30k,发展前景大、工作氛围好、技术牛人多
瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司,500-2000人,不需要融资,长宁区,Python软件开发工程师,1-3年,本科,10k-15k,"五险一金,带薪年假,弹性工作,氛围自由"
上海众言网络科技有限公司,问卷网@爱调研,150-500人,B轮,徐汇区,Python开发,3-5年,本科,15k-30k,"五险一金,季度旅游,生日会,带薪年假"
上海丫丫信息科技有限公司,妈妈帮,50-150人,不需要融资,浦东新区,Python开发工程师,不限,本科,13k-22k,"氛围活跃,技术团队,不打卡,福利赞"
上海大岂网络科技有限公司,MoSeeker仟寻,50-150人,B轮,徐汇区,Python工程师,1-3年,本科,10k-20k,"B轮,互联网,技术氛围好,超长年假"
上海道客网络科技有限公司,DAOCLOUD,150-500人,A轮,杨浦区,Python开发工程师,3-5年,本科,20k-40k,"15天年假,5天病假,年终多薪,公司前景"
上海谷露软件有限公司,谷露软件,50-150人,A轮,黄浦区,python工程师,不限,不限,20k-40k,"奖金,包两餐,期权,不加班"
蜜柚网络科技（上海）有限公司,musical.ly,150-500人,不需要融资,黄浦区,高级Python开发工程师,3-5年,本科,25k-50k,"大牛带你飞,零食不断,过亿用户"
竹间智能科技（上海）有限公司,竹间智能科技(上海)有限公司,150-500人,B轮,徐汇区,Python 开发工程师,不限,本科,20k以上,发展空间大 期权激励 弹性工作
智慧芽信息科技（苏州）有限公司,智慧芽,150-500人,D轮及以上,闸北区,高级Python开发工程师,3-5年,本科,20k-30k,"五险一金,外企,领导好,晋升快"
威比网络科技（上海）有限公司,TutorABC英语,2000人以上,C轮,虹口区,Python工程师,1-3年,本科,15k-20k,"五险一金,早餐水果,节日福利"
上海拍拍贷金融信息服务有限公司,拍拍贷,2000人以上,上市公司,浦东新区,Python工程师,3-5年,本科,20k-35k,"团队年轻,带薪年假,弹性工作,多次调薪"
上海众言网络科技有限公司,问卷网@爱调研,150-500人,B轮,徐汇区,Python开发师,3-5年,本科,15k-30k,"五险一金,季度旅游,节日福利,带薪年假"
上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,浦东新区,Python/R程序开发,1-3年,本科,10k-15k,"年底双薪,节日礼金,体检旅游,五险一金"
上海速石信息科技有限公司,速石科技,少于15人,天使轮,杨浦区,高级资深python开发工程师,5-10年,本科,25k-40k,"团队氛围好,公司前景好,试用期全薪,福利待遇好"
上海互趣网络科技有限公司,Amino,50-150人,C轮,静安区,Java/Python资深开发工程师,5-10年,本科,35k-70k,"团队牛人多,技术驱动,硅谷文化,期权激励"
瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司,500-2000人,不需要融资,长宁区,python开发工程师,不限,本科,10k-20k,五险一金、弹性工作制、带薪年假、内部培训
蜜柚网络科技（上海）有限公司,musical.ly,150-500人,不需要融资,黄浦区,Python开发实习生 - 短视频方向,应届毕业生,本科,4k-8k,"大牛带你飞,零食吃不完,过亿用户量,房补餐补"
深圳平安综合金融服务有限公司,平安金服,2000人以上,上市公司,浦东新区,Python开发,3-5年,本科,15k-30k,"平台大,福利好,发展快"
上海数禾信息科技有限公司,还呗-智能信贷领先者,150-500人,不需要融资,浦东新区,Python 高级开发工程师,3-5年,本科,15k-30k,"移动金融,未来金矿,精英团队,助力成长"
上海幻电信息科技有限公司,哔哩哔哩,2000人以上,上市公司,杨浦区,Python开发工程师,1-3年,本科,15k-30k,"氛围好,发展快,领导好,空间大"
上海齐家网信息科技股份有限公司,齐家网,2000人以上,上市公司,嘉定区,高级Python开发工程师,3-5年,大专,15k-30k,行业发展前景好 公司行业领先 晋升机会多
耘智信息科技（上海）有限公司,Seedlink,15-50人,A轮,静安区,Django/Python/后端开发,3-5年,本科,20k-35k,发展前景好、学习发展快
上海合合信息科技发展有限公司,名片全能王,150-500人,C轮,静安区,Python开发实习生,应届毕业生,本科,4k-6k,"大数据,人工智能,转正机会"
上海谷露软件有限公司,谷露软件,50-150人,A轮,黄浦区,python工程师（2019校园招聘）,应届毕业生,本科,15k-20k,"五险一金,包两餐,13薪,奖金多"
上海彩亿信息技术有限公司,有鱼金融科技,500-2000人,不需要融资,徐汇区,Python开发,3-5年,本科,14k-26k,"行业前三,亿级平台,极客团队,无限发挥"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,长宁区,智能监控开发工程师 Java/C++/Python,3-5年,本科,28k-48k,"团队发展快,晋升机会多"
上海众言网络科技有限公司,问卷网@爱调研,150-500人,B轮,徐汇区,高级python开发工程师,3-5年,本科,15k-30k,"晋升机制,上市激励,福利多多,五险一金"
上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,浦东新区,python,3-5年,本科,8k-15k,"五险一金,过节福利,生日礼金,旅游、体检"
上海游族信息技术有限公司,游族网络,500-2000人,上市公司,徐汇区,python开发工程师,不限,不限,15k-30k,"工作氛围好,专业培训,发展空间大,上市公司"
上海拍拍贷金融信息服务有限公司,拍拍贷,2000人以上,上市公司,浦东新区,Python资深专家,5-10年,本科,30k-40k,"团队年轻,带薪年假,弹性工作,发展空间大"
上海诺誉投资管理有限公司,诺誉投资,150-500人,B轮,浦东新区,python后端高级工程师,5-10年,本科,30k-40k,项目开始
上海思华科技股份有限公司,思华科技,150-500人,D轮及以上,浦东新区,Python工程师,3-5年,本科,18K-35K,弹性上班，培训机会，补充医疗，核心团队
上海汇付数据服务有限公司,汇付,500-2000人,C轮,徐汇区,运维开发工程师（Python）,1-3年,本科,14k-18k,"技术氛围好,工作环境好,福利多"
上海玖恬网络科技有限公司,玖恬科技,少于15人,不需要融资,浦东新区,Python 程序员,3-5年,不限,10k-20k,前景好
耘智信息科技（上海）有限公司,Seedlink,15-50人,A轮,静安区,Django/Python/后端开发,3-5年,本科,20k-35k,发展前景好、学习发展快
上海数旦信息技术有限公司,数旦信息,15-50人,A轮,徐汇区,Python开发工程师,1-3年,本科,9k-14k,"五险一金,股票期权,年终奖金,员工旅游"
上海创远教育科技有限公司,职晓,50-150人,B轮,静安区,Python开发工程师,1-3年,本科,10k-15k,"团队氛围好,周末双休,五险一金,弹性年假"
互道信息技术（上海）有限公司,NextTao 互道信息,50-150人,B轮,浦东新区,Python工程师,3-5年,本科,18k-35k,"技术前沿,大数据平台"
魔珐（上海）信息科技有限公司,Xmov,15-50人,天使轮,徐汇区,Python后端开发工程师,3-5年,本科,15k-30k,"明星团队,顶级风投,人工智能,扁平管理"
上海懿天网络科技有限公司,Versa,15-50人,A轮,徐汇区,Python研发工程师,1-3年,不限,15k-25k,"AI,扁平化,弹性工作,交通方便"
优维科技（深圳）有限公司,优维科技,50-150人,B轮,浦东新区,Python开发工程师（上海驻场）,1-3年,本科,13k-15k,"五险一金,带薪年假,股权激励,腾讯背景"
上海众言网络科技有限公司,问卷网@爱调研,150-500人,B轮,徐汇区,Python资深开发,3-5年,本科,12k-24k,"带薪年假,股票期权,下午茶,季度旅游"
上海游族信息技术有限公司,游族网络,500-2000人,上市公司,徐汇区,资深python开发工程师,3-5年,不限,15k-25k,"工作氛围好,发展空间大,专业培训,各种团建"
上海慧鸿国际贸易有限公司,慧鸿,50-150人,不需要融资,浦东新区,python开发工程师,3-5年,本科,15k-25k,"公司规模大,扁平管理,技术能力强,薪资待遇好"
上海泛微网络科技股份有限公司,泛微,2000人以上,上市公司,闵行区,运维工程师（Python）,1-3年,本科,8k-13k,"半年调薪,福利待遇佳,免费三餐"
上海彩亿信息技术有限公司,有鱼金融科技,500-2000人,不需要融资,徐汇区,Python开发,应届毕业生,本科,6k-12k,"行业前三,金融科技,极客团队,不加班"
思满软件科技（上海）有限公司,思满科技,15-50人,不需要融资,徐汇区,Python,1-3年,本科,15K-30K,US Culture
上海数旦信息技术有限公司,数旦信息,15-50人,A轮,徐汇区,Python开发高级工程师,3-5年,本科,15k-30k,"年终奖金,五险一金,股票期权,员工旅游"
全美在线（北京）教育科技股份有限公司,ATA,500-2000人,上市公司,浦东新区,python开发工程师,1-3年,本科,10k-15k,架构设计
上海坤亿信息技术有限公司,坤亿科技,50-150人,不需要融资,浦东新区,Python开发工程师,1-3年,本科,8k-11k,"五险一金,周末双休,绩效奖金,弹性工作"
易玩（上海）网络科技有限公司,TapTap,50-150人,B轮,闸北区,python后端,3-5年,本科,20k-40k,薪资丰厚 年度旅游 氛围轻松
上海斗象信息科技有限公司,斗象科技,50-150人,B轮,浦东新区,高级Python后端研发工程师,3-5年,本科,15k-30k,互联网公司，弹性上班，带薪年假，期权激励
南昌力武田电子商务有限公司,力武田,少于15人,不需要融资,虹口区,Python技术经理,3-5年,不限,20k-30k,"薪资待遇好,项目稳定,回报优良"
上海健野信息科技有限公司,健野科技,少于15人,未融资,浦东新区,Python开发,3-5年,大专,11k-17k,"股权激励,大神辅导,股票期权,弹性工作"
贝壳金科控股有限公司,贝壳金服,500-2000人,未融资,黄浦区,python开发工程师,不限,本科,25k-50k,"福利好,平台大,牛人多"
深圳市拓保软件有限公司上海分公司,拓保软件,500-2000人,不需要融资,浦东新区,Python开发工程师,1-3年,大专,10k-20k,"五险一金,大平台"
上海齐家网信息科技股份有限公司,齐家网,2000人以上,上市公司,嘉定区,Python工程师,3-5年,本科,15k-30k,"上市公司,待遇好,上升空间大"
上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,浦东新区,Python后台开发,3-5年,本科,10k-16k,"五险一金,体检旅游,年终奖金,节日礼金"
携程计算机技术（上海）有限公司,携程,2000人以上,上市公司,长宁区,Python开发工程师,3-5年,本科,15k-25k,跟优秀的团队一起工作
上海享衣信息科技有限公司,好搭（虚拟试衣）,15-50人,天使轮,宝山区,资深Python开发工程师,3-5年,本科,22k-30k,"扁平管理,弹性工作,周末双休,每周按摩"
上海树融数据科技有限公司,树融科技,15-50人,天使轮,杨浦区,后端开发工程师（Python）,1-3年,本科,15k-25k,"扁平化管理,学习氛围,平衡快乐"
千言信息技术（上海）有限公司,italki,50-150人,A轮,黄浦区,Python工程师（中级）,3-5年,本科,10k-15k,"全球用户,在线教育,国际团队,福利满分"
上海睿畜电子科技有限公司,睿畜科技,15-50人,天使轮,嘉定区,Python 工程师,1-3年,本科,8k-15k,"五险一金,下午茶福利,年轻团队,高级自助餐"
上海数旦信息技术有限公司,数旦信息,15-50人,A轮,徐汇区,Python开发实习生,应届毕业生,本科,5k-6k,"转正机会,免费零食,旅游,学习机会多"
深圳市房多多网络科技有限公司,房多多,2000人以上,C轮,闸北区,Python研发工程师,1-3年,本科,15k-30k,平台好，发展广阔，技术大牛多
畅想互娱（北京）科技有限公司广州分公司,畅想互娱,50-150人,上市公司,闵行区,Python开发工程师,3-5年,大专,11k-17k,"项目开发,后端"
阿基米德（上海）传媒有限公司,阿基米德fm,50-150人,B轮,长宁区,python高级大数据开发工程师,3-5年,本科,15k-30k,"福利好,学习机会多,补充公积金,商业保险"
便利蜂商贸有限公司,便利蜂,2000人以上,不需要融资,闵行区,python开发,1-3年,本科,15k-25k,"技术大牛,扁平管理,人工智能,弹性工作"
上海梅花信息有限公司,梅花网,50-150人,不需要融资,长宁区,Python开发工程师,1-3年,大专,8k-15k,"绩效奖金,周末双休,节日福利,轻松氛围"
上海舒加网络科技有限公司,舒加网络,15-50人,不需要融资,闵行区,Python开发工程师,1-3年,本科,10k-15k,"Linux,爬虫,内容抓取"
上海炫体信息科技有限公司,雷速体育,50-150人,不需要融资,虹口区,Python,3-5年,本科,15k-25k,轻松办公环境、无限零食、桌球、乒乓球
上海宏路数据技术股份有限公司,Hypers,50-150人,上市公司,虹口区,Python开发工程师,不限,不限,7k-14k,扁平化 成长快 氛围好
行吟信息科技（上海）有限公司,小红书,500-2000人,D轮及以上,黄浦区,Python开发工程师,1-3年,本科,20k-40k,"六险一金,年底多薪,租房补贴,发展空间大"
上海睿畜电子科技有限公司,睿畜科技,15-50人,天使轮,嘉定区,Python 工程师,应届毕业生,本科,3k-6k,"五险一金,下午茶福利,高级自助餐,带薪年假"
南昌力武田电子商务有限公司,力武田,少于15人,不需要融资,虹口区,Python高级开发工程师,3-5年,不限,20k-30k,"薪资待遇好,项目稳定,回报优良"
飞榴（上海）信息科技有限公司,飞榴科技,15-50人,A轮,浦东新区,Python开发工程师,1-3年,本科,15k-30k,"技术挑战大,团队协作好,工作环境佳,个人成长快"
上海炫体信息科技有限公司,雷速体育,50-150人,不需要融资,虹口区,Python后端开发工程师,3-5年,本科,15k-25k,"年轻人,各种补助"
上海树融数据科技有限公司,树融科技,15-50人,天使轮,杨浦区,Python开发工程师（API接口开发）,1-3年,本科,15k-25k,"扁平化管理,学习氛围浓,大牛多"
瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司,500-2000人,不需要融资,长宁区,【​Ericsson】AAT Python/Go,不限,本科,10k-20k,"500强,外企氛围好,弹性工作,培训丰富"
亿可能源科技（上海）有限公司,亿可能源,50-150人,A轮,杨浦区,Python,3-5年,本科,15k-30k,技术大牛
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,徐汇区,资深Python研发工程师-产品变现,3-5年,本科,25k-40k,高薪期权，弹性工作，免费三餐，租房补贴
沪江教育科技（上海）股份有限公司,沪江,500-2000人,D轮及以上,浦东新区,Python后端开发工程师 (MJ001090),1-3年,大专,15k-30k,"互联网教育,团队牛,氛围佳,弹性办公"
上海朋数信息科技有限公司,朋数,150-500人,B轮,虹口区,Python数据开发,1-3年,本科,10k-15k,"带薪年假,定期体检,团队建设,氛围好"
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,长宁区,Python资深开发工程师,5-10年,本科,25k-50k,"平台大,前景好,福利高,待遇好"
