公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,work_year,salary,月工资
深圳市紫川软件有限公司,紫川软件,500-2000人,不需要融资,南山区,python工程师,2.0,本科,8k-14k,周末双休 免费体检 员工旅游 五险一金,"['1', '3']","['8', '14']",9.5
深圳佑驾创新科技有限公司,MINIEYE,150-500人,A轮,南山区,python工程师,2.0,本科,15k-30k,"无人驾驶,车厂合作,扁平化管理,股票期权","['1', '3']","['15', '30']",18.75
上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,福田区,python 工程师,4.0,本科,10k-20k,"年终奖,带薪年假,周末双休,五险一金","['3', '5']","['10', '20']",12.5
万汇互联（深圳）科技有限公司,万汇互联,150-500人,天使轮,南山区,Python系统开发工程师,4.0,本科,25k-50k,"团建活动,绩效奖金,弹性工作,节日礼金","['3', '5']","['25', '50']",31.25
上海海知智能科技有限公司,海知智能,50-150人,A轮,南山区,Python开发工程师,4.0,本科,20k-40k,"人工智能,技术大牛,成长空间大,创新前沿","['3', '5']","['20', '40']",25.0
深圳奥比中光科技有限公司,奥比中光,150-500人,D轮及以上,南山区,Python开发工程师,4.0,本科,15k-30k,"14薪,福利多,D轮","['3', '5']","['15', '30']",18.75
深圳开黑科技有限公司,暴鸡电竞,150-500人,A轮,南山区,高级Python开发工程师,4.0,本科,16k-30k,"技术大牛多,福利待遇好,电竞风口,团队稳定","['3', '5']","['16', '30']",19.5
深圳市立新出行信息技术有限公司,立新出行,50-150人,不需要融资,宝安区,Python后台开发工程师,4.0,本科,25k-35k,"周末双休,五险一金,自助零食,领导好","['3', '5']","['25', '35']",27.5
上海诺誉投资管理有限公司,诺誉投资,150-500人,B轮,宝安区,深圳Python后台开发工程师,4.0,本科,25k-30k,"b轮,扁平化管理,氛围轻松,期权","['3', '5']","['25', '30']",26.25
深圳云天励飞技术有限公司,云天励飞,500-2000人,A轮,福田区,Python开发工程师,4.0,本科,15k-30k,"发展快,年终奖,人工智能","['3', '5']","['15', '30']",18.75
达而观信息科技（上海）有限公司,达观数据,50-150人,B轮,南山区,高级python开发工程师,4.0,本科,18k-36k,"人工智能,准独角兽,技术氛围浓,发展空间","['3', '5']","['18', '36']",22.5
深圳羚羊极速科技有限公司,羚羊极速,50-150人,A轮,南山区,后台开发工程师（Python可转）,4.0,本科,12k-24k,"五险一金,股票期权,年轻团队,福利好","['3', '5']","['12', '24']",15.0
